WorkerId,SubmitTime,Answer 56,animacy,number,definiteness,tense,subject,sentence,response,rt,question_number,type,aspect,modal,be_have,sentence_id,sentence_length,original_response
KWIU4ARFW7IRMDD65FRL2LE1TDN3XQ,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,present,turtle,Turtles live in ponds.,2,844,43,target,simple,no,no,3571,3,generic
62PRBA6S9GBI7YQGZY57MLS7A6BU5P,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,definite,past,tire,The tire was flat.,1,787,42,target,simple,no,yes,484,2,non.generic
AY36ZA2IHGLDDTYZDUOUBVIYQC8D44,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,definite,present,lamp,The lamps are on the table ,1,784,41,target,simple,no,yes,2513,4,non.generic
12OVQ9QPJWDO4ESJUUH7QHAVRO01ZD,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,definite,past,couch,The couches were on sale at the store.,2,2065,40,target,simple,no,yes,2337,6,non.generic
6OVBAEO6INA53XOOFC1TNNG2SI76BN,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,indefinite,past,guitar,A guitar string broke.,1,1377,49,target,simple,no,no,4324,2,non.generic
I1DJ0Z1Z8AUQ0BWUF8XGCUVHRJL96V,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,definite,past,dog,The dogs barked furiously.,2,748,48,target,simple,no,no,1931,2,non.generic
K4JNMH9VOKLNGFNWYFNI9XTZYUUM9T,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,indefinite,present,shirt,A shirt can be a fashion statement when infused with the right colors,1,1068,6,target,simple,yes,yes,4100,11,generic
CNJQ6PZDVG2IN41H5UL5VS6FSBDDSB,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,present,panda,The panda is black and white.,2,1459,7,target,simple,no,yes,3648,4,generic
7TEMWYCL2CPLO3IATFSOAVQVFZWLCJ,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,present,zebra,The zebra is not extinct.,2,3157,4,example,simple,no,yes,3648,4,generic
B05G0PO0AB37TSCVESH8SN10CUN932,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,indefinite,past,toilet,Toilets overflowed in the company's restroom.,1,2859,5,target,simple,no,no,1719,5,non.generic
5HTS17HPGMVPOCKP9TVMZTS83ZQLH8,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,indefinite,past,sword,Swords are weapons.,2,3899,2,example,simple,no,no,1719,5,non.generic
0NISU7JAFFVGKK38IFJ5ZZY2GS8HRV,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,indefinite,past,mouse,A mouse lives in my house.,2,3664,3,example,simple,no,no,1719,5,non.generic
FJLNZBFWMT8KHQNVO4QUMSNAW4F121,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,definite,past,bus,The buses were blocking traffic.,1,6230,1,example,simple,no,no,1719,5,non.generic
0YSFTI67BR1E9YZ9DAHHOUF28K706B,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,present,panda,The panda is a lazy animal. ,2,1490,8,target,simple,no,yes,1246,4,generic
GPPBD123ZLCH2CU6V2D4O6XAIAS46O,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,definite,past,fence,The fence blocked the way forward.,1,1037,9,target,simple,no,no,3206,4,non.generic
SR90G4R0TSRN05LOVHHQ4ZVC6XLPX3,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,indefinite,past,clock,Clocks decorated the wall.,1,771,14,target,simple,no,no,624,3,non.generic
PVS3MSG43C132A7GY7ARMMET6KYYEX,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,definite,past,couch,The couch was big and blue.,1,736,15,target,simple,no,yes,3383,4,non.generic
S7QLNEB6PJNKOUEXABG777CBMMTN46,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,present,camel,Camels travel in the desert,2,731,16,target,simple,no,no,3354,4,generic
C69JU9CNZTRMM4R1J1K26PW3S5RYC2,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,past,pig,Pigs EAGERLY AWAITED THEIR FEEDING. ,1,757,17,target,simple,no,no,3112,4,non.generic
1BWFTGZEKQZPEF85F5F2DQR5VPLNAI,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,definite,past,fence,The fence kept deer from entering the yard.,2,733,10,target,simple,no,no,2339,6,non.generic
H6H10C1RQPPA7XTVSO3PPHJFKAEBZM,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,indefinite,past,chair,A chair was tipped over on the floor after the fight ended.,1,854,11,target,simple,no,no,2076,10,non.generic
XP7R7S8YRT2J4G5J9XF9RXKWX8BRO8,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,indefinite,past,piano,A piano was being played in a lounge.,1,733,12,target,progressive,no,no,172,6,non.generic
TTW7J8EGT24H10OL9KUMVB5BUW7GII,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,definite,present,bicycle,The bicycles are good ways to exercise.,2,835,13,target,simple,no,yes,827,5,non.generic
2UT6Z1BTL8O4SIC1A2H7JNEMN8SHWF,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,present,pig,Pigs don't fly.,1,991,36,target,simple,no,no,3430,2,generic
HS337PXTKAF2NJAGVTQO43PNFIAMV2,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,definite,present,light bulb,The light bulbs keep flickering on and off.,1,785,37,target,simple,no,no,1516,5,non.generic
0WN55AU3F238X2Q0DF8P1DAHVKBTHY,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,indefinite,past,cat,A cat scratched at the door.,2,1205,34,target,simple,no,no,1918,4,non.generic
4YYJ2LYW5ZBB2KI5XBX9ONO68SFLCC,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,indefinite,present,skunk,A skunk stank something awful,1,804,35,target,simple,no,no,1764,3,non.generic
2D2L0VH7T1GVSV5I511E163ML8ARUT,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,past,dolphin,Dolphins swam near the boat.,2,677,18,target,simple,no,no,632,4,non.generic
4NADI65V966QENLK4VJCYUBK5COJL7,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,indefinite,present,bed,A bed is a comfortable piece of furniture to lay down and sleep in.,1,1021,19,target,simple,no,yes,4191,12,generic
GHX7RBJ9QDT5OBA57NMDNZINNHHP9U,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,present,bear,Bears hibernate in the winter,2,788,30,target,simple,no,no,1056,4,generic
JXFOZSDBHJ55FVB5TV7GYZ8SQWGDCU,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,future,fox,Foxes will eat your pets if you are not careful.,1,795,31,target,simple,yes,no,272,9,generic
365WI9O9264TZUTLR0HQCL00K2IRML,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,present,bear,The bear is moving closer to us.,1,889,38,target,progressive,no,no,40,5,non.generic
QSEAUAAP6VHJKPWT86FCVC8Z6UAMSH,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,definite,past,cow,The cows were eating grass.,1,708,51,target,progressive,no,no,1192,3,non.generic
BW1MZ83JIX5Z1AVSAOAVQ1HV3X0MWJ,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,definite,present,pig,The pigs are very dirty.,2,750,32,target,simple,no,yes,3311,3,non.generic
XXKZ2NHL1PXLFELD1AYEVDIOL91VXA,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,present,fox,Foxes are sly.,2,706,52,target,simple,no,yes,2375,2,generic
